Country/Territory,Status,PR Rating,CL Rating,A Aggr,B Aggr,C Aggr,Add A,Add B,PR Aggr,D Aggr,E Aggr,F Aggr,G Aggr,CL Aggr,Total Aggr
Abkhazia*,PF,5,5,6,7,4,0,0,17,8,5,4,5,22,39
Afghanistan,NF,6,6,3,6,1,0,0,10,5,4,1,3,13,23
Albania,PF,3,3,8,10,6,0,0,24,13,8,9,9,39,63
Algeria,NF,6,5,4,4,3,0,0,11,7,5,5,7,24,35
Andorra,F,1,1,12,15,12,0,0,39,16,11,15,15,57,96
Angola,NF,6,5,3,6,1,0,0,10,8,4,4,3,19,29
Antigua and Barbuda,F,3,2,11,12,6,0,0,29,13,9,13,13,48,77
Argentina,F,2,2,11,15,6,0,0,32,14,11,11,13,49,81
Armenia,PF,6,4,4,4,3,0,0,11,8,6,6,9,29,40
Australia,F,1,1,12,15,12,0,0,39,16,12,14,15,57,96
Austria,F,1,1,12,15,12,0,0,39,16,12,15,15,58,97
Azerbaijan,NF,6,5,1,3,2,0,0,6,4,2,4,7,17,23
Bahamas,F,1,1,12,16,10,0,0,38,16,12,15,15,58,96
Bahrain,NF,6,6,21,3,4,0,2,8,3,2,1,6,12,20
Bangladesh,PF,3,4,9,11,5,0,0,25,9,8,7,9,33,58
Barbados,F,1,1,12,16,12,0,0,40,16,12,16,15,59,99
Belarus,NF,7,6,0,3,1,0,0,4,3,1,1,5,10,14
Belgium,F,1,1,12,16,12,0,0,40,16,12,15,15,58,98
Belize,F,1,2,12,14,11,0,0,37,15,11,12,13,51,88
Benin,F,2,2,8,16,8,0,0,32,15,11,13,10,49,81
Bhutan,PF,4,5,7,7,6,0,1,19,8,3,5,8,24,43
Bolivia,PF,3,3,11,11,6,0,0,28,14,9,6,9,38,66
Bosnia and Herzegovina,PF,4,3,8,10,5,0,0,23,10,7,10,10,37,60
Botswana,F,3,2,10,11,8,0,0,29,13,10,12,11,46,75
Brazil,F,2,2,11,14,8,0,0,33,15,10,10,12,47,80
Brunei,NF,6,5,0,3,3,1,0,7,6,3,6,8,23,30
Bulgaria,F,2,2,11,15,8,0,0,34,14,11,11,11,47,81
Burkina Faso,PF,5,3,5,7,4,0,0,16,13,8,6,8,35,51
Burundi,PF,5,5,4,6,3,0,0,13,8,4,4,6,22,35
Cambodia,NF,6,5,3,3,3,0,0,9,9,4,2,6,21,30
Cameroon,NF,6,6,2,3,2,0,0,7,7,3,2,4,16,23
Canada,F,1,1,12,16,12,0,0,40,16,12,15,16,59,99
Cape Verde,F,1,1,12,15,10,0,0,37,15,11,14,13,53,90
Central African Republic,PF,5,5,7,7,3,0,0,17,10,5,3,4,22,39
Chad,NF,7,6,3,1,1,0,0,5,7,4,2,3,16,21
Chile,F,1,1,12,15,12,0,0,39,16,12,15,15,58,97
China,NF,7,6,0,1,2,0,1,2,3,3,2,6,14,16
Colombia,PF,3,4,10,10,7,0,0,27,12,5,7,10,34,61
Comoros,PF,3,4,9,11,5,0,0,25,10,6,8,6,30,55
Congo (Brazzaville),NF,6,5,1,3,3,0,0,7,8,6,2,6,22,29
Congo (Kinshasa),NF,6,6,3,4,2,0,0,9,7,3,0,1,11,20
Costa Rica,F,1,1,12,15,11,0,0,38,16,11,13,13,53,91
Cote d'Ivoire,NF,6,6,5,4,2,0,0,11,4,5,0,4,13,24
Croatia,F,1,2,12,15,9,0,0,36,14,12,11,13,50,86
Cuba,NF,7,6,0,0,1,0,0,1,3,1,2,4,10,11
Cyprus,F,1,1,11,16,11,0,0,38,15,11,15,14,55,93
Czech Republic,F,1,1,12,15,11,0,0,38,16,12,14,15,57,95
Denmark,F,1,1,12,16,12,0,0,40,16,12,15,15,58,98
Djibouti,NF,6,5,3,3,3,0,0,9,7,3,4,6,20,29
Dominica,F,1,1,12,16,10,0,0,38,16,12,15,15,58,96
Dominican Republic,F,2,2,10,12,9,0,0,31,15,10,8,11,44,75
Ecuador,PF,3,3,8,13,6,0,0,27,13,7,6,10,36,63
Egypt,NF,6,5,2,7,2,0,0,11,8,5,4,7,24,35
El Salvador,F,2,3,12,14,9,0,0,35,15,8,8,10,41,76
Equatorial Guinea,NF,7,7,0,1,0,0,0,1,4,0,0,3,7,8
Eritrea,NF,7,7,0,1,1,0,0,2,1,0,0,3,4,6
Estonia,F,1,1,12,15,12,0,0,39,16,12,14,14,56,95
Ethiopia,NF,6,6,1,2,4,0,0,7,4,0,3,5,12,19
Fiji,PF,6,4,0,5,2,0,0,7,10,2,6,10,28,35
Finland,F,1,1,12,16,12,0,0,40,16,12,16,16,60,100
France,F,1,1,12,15,11,0,0,38,15,12,15,15,57,95
Gabon,NF,6,5,2,4,3,0,0,9,10,4,6,5,25,34
Gaza Strip*,NF,6,6,5,2,2,0,0,9,4,3,0,3,10,19
Georgia,PF,4,3,6,9,7,0,0,22,12,7,7,10,36,58
Germany,F,1,1,12,15,12,0,0,39,15,12,15,15,57,96
Ghana,F,1,2,12,15,10,0,0,37,14,11,12,10,47,84
Greece,F,2,2,12,15,8,0,0,35,14,12,11,13,50,85
Grenada,F,1,2,12,16,10,0,0,38,15,10,12,14,51,89
Guatemala,PF,3,4,9,10,5,0,0,24,12,8,6,8,34,58
Guinea,PF,5,5,5,8,1,0,0,14,7,5,4,4,20,34
Guinea-Bissau,PF,4,4,9,7,2,0,0,18,10,8,4,5,27,45
Guyana,F,2,3,11,13,7,0,0,31,15,10,7,9,41,72
Haiti,PF,4,5,5,10,5,0,0,20,10,6,4,5,25,45
Honduras,PF,4,4,6,8,5,0,0,19,11,6,7,9,33,52
Hong Kong*,PF,5,2,3,7,6,0,0,16,14,9,15,13,51,67
Hungary,F,1,2,12,15,9,0,0,36,15,12,11,14,52,88
Iceland,F,1,1,12,16,12,0,0,40,16,12,16,15,59,99
India,F,2,3,11,14,9,0,0,34,13,11,9,10,43,77
Indian Kashmir*,PF,4,4,8,8,4,0,0,20,9,6,5,8,28,48
Indonesia,F,2,3,11,13,6,0,0,30,12,9,5,9,35,65
Iran,NF,6,6,2,2,2,0,0,6,2,1,3,4,10,16
Iraq,NF,5,6,7,5,1,0,1,12,5,4,0,4,13,25
Ireland,F,1,1,12,16,11,0,0,39,16,12,15,15,58,97
Israel,F,1,2,12,14,10,0,0,36,12,11,11,11,45,81
Italy,F,1,1,11,15,10,0,0,36,15,12,12,14,53,89
Jamaica,F,2,3,12,13,8,0,0,33,15,9,6,10,40,73
Japan,F,1,2,12,15,10,0,0,37,13,10,15,13,51,88
Jordan,NF,6,5,2,5,3,0,0,10,7,4,6,8,25,35
Kazakhstan,NF,6,5,2,3,1,0,0,6,6,3,4,8,21,27
Kenya,PF,4,3,6,10,5,0,0,21,14,8,7,7,36,57
Kiribati,F,1,1,12,16,8,0,0,36,15,12,15,13,55,91
Kosovo,PF,5,4,6,7,3,0,1,15,8,6,5,7,26,41
Kuwait,PF,4,5,4,10,5,0,0,19,7,5,7,6,25,44
Kyrgyzstan,PF,5,5,6,7,5,0,2,16,9,5,4,7,25,41
Laos,NF,7,6,0,0,0,0,0,0,4,1,2,5,12,12
Latvia,F,2,2,12,14,7,0,0,33,15,12,12,12,51,84
Lebanon,PF,5,4,5,9,3,0,0,17,12,7,6,9,34,51
Lesotho,PF,3,3,9,11,8,0,0,28,14,7,11,9,41,69
Liberia,PF,3,4,9,11,6,0,0,26,11,8,7,8,34,60
Libya,NF,7,6,0,3,0,0,0,3,5,3,0,6,14,17
Liechtenstein,F,1,1,12,15,12,0,0,39,16,12,15,16,59,98
Lithuania,F,1,1,12,16,9,0,0,37,16,11,13,13,53,90
Luxembourg,F,1,1,12,16,12,0,0,40,16,12,16,16,60,100
Macedonia,PF,3,3,8,11,7,0,0,26,11,8,9,11,39,65
Madagascar,PF,6,4,1,5,1,0,0,7,10,7,6,9,32,39
Malawi,PF,3,4,7,11,7,0,0,25,10,6,9,7,32,57
Malaysia,PF,4,4,6,8,6,0,0,20,9,5,6,9,29,49
Maldives,PF,3,4,9,9,6,0,0,24,8,8,8,8,32,56
Mali,F,2,3,9,13,9,0,0,31,16,10,8,7,41,72
Malta,F,1,1,12,16,11,0,0,39,16,12,15,15,58,97
Marshall Islands,F,1,1,11,15,10,0,0,36,16,11,15,13,55,91
Mauritania,NF,6,5,3,3,5,0,0,11,9,4,4,5,22,33
Mauritius,F,1,2,12,15,11,0,0,38,15,12,13,12,52,90
Mexico,PF,3,3,10,12,7,0,0,29,13,8,6,10,37,66
Micronesia,F,1,1,12,15,10,0,0,37,16,11,15,14,56,93
Moldova,PF,3,3,11,12,5,0,0,28,12,8,8,9,37,65
Monaco,F,2,1,10,11,10,0,0,31,15,12,15,14,56,87
Mongolia,F,2,2,10,15,10,0,0,35,15,11,12,12,50,85
Montenegro,F,3,2,9,11,7,0,0,27,13,10,10,12,45,72
Morocco,PF,5,4,4,7,4,0,0,15,8,6,6,8,28,43
Mozambique,PF,4,3,6,10,7,0,0,23,12,7,8,9,36,59
Myanmar,NF,7,6,1,4,2,0,3,4,5,2,0,3,10,14
Nagorno-Karabakh*,NF,6,5,4,3,3,0,0,10,6,3,5,5,19,29
