Country/Territory,Status,PR Rating,CL Rating,A Aggr,B Aggr,C Aggr,Add A,Add B,PR Aggr,D Aggr,E Aggr,F Aggr,G Aggr,CL Aggr,Total Aggr
Abkhazia*,PF,5,5,5,5,3,0,0,13,8,4,4,5,21,34
Afghanistan,PF,5,5,6,7,4,0,0,17,5,5,3,5,18,35
Albania,PF,3,3,8,11,7,0,0,26,11,8,10,9,38,64
Algeria,NF,6,5,4,4,3,0,0,11,7,6,5,7,25,36
Andorra,F,1,1,12,15,12,0,0,39,16,11,15,15,57,96
Angola,NF,6,5,2,5,1,0,0,8,8,6,4,3,21,29
Antigua and Barbuda,F,2,2,11,12,7,0,0,30,13,9,12,13,47,77
Argentina,F,2,2,11,15,7,0,0,33,14,11,10,13,48,81
Armenia,PF,5,4,4,5,4,0,0,13,8,5,6,9,28,41
Australia,F,1,1,12,15,12,0,0,39,16,12,14,15,57,96
Austria,F,1,1,12,16,12,0,0,40,16,12,15,15,58,98
Azerbaijan,NF,6,5,3,4,3,0,0,10,7,3,4,8,22,32
Bahamas,F,1,1,12,16,10,0,0,38,16,12,15,15,58,96
Bahrain,PF,5,5,21,9,4,0,0,16,8,3,4,5,20,36
Bangladesh,PF,4,4,8,10,4,0,0,22,8,8,6,9,31,53
Barbados,F,1,1,12,16,12,0,0,40,16,12,16,15,59,99
Belarus,NF,7,6,0,3,1,0,0,4,3,0,2,5,10,14
Belgium,F,1,1,12,16,12,0,0,40,16,12,15,15,58,98
Belize,F,1,2,12,14,10,0,0,36,15,11,12,13,51,87
Benin,F,2,2,10,15,8,0,0,33,15,12,12,10,49,82
Bhutan,NF,6,5,3,1,5,2,1,10,7,2,4,8,21,31
Bolivia,PF,3,3,11,13,4,0,0,28,15,11,8,9,43,71
Bosnia and Herzegovina,PF,3,3,8,11,6,0,0,25,11,8,10,10,39,64
Botswana,F,2,2,11,11,9,0,0,31,14,10,13,10,47,78
Brazil,F,2,2,11,14,6,0,0,31,15,10,8,12,45,76
Brunei,NF,6,5,0,3,3,1,0,7,6,3,6,8,23,30
Bulgaria,F,1,2,12,15,9,0,0,36,14,11,12,12,49,85
Burkina Faso,PF,5,3,5,8,4,0,0,17,14,9,6,8,37,54
Burundi,PF,4,5,9,9,4,0,0,22,8,5,4,6,23,45
Cambodia,NF,6,5,3,5,3,0,0,11,9,6,2,7,24,35
Cameroon,NF,6,6,3,5,3,0,0,11,7,3,2,4,16,27
Canada,F,1,1,12,16,12,0,0,40,16,12,15,16,59,99
Cape Verde,F,1,1,12,15,10,0,0,37,15,11,14,13,53,90
Central African Republic,PF,5,4,7,7,3,0,0,17,10,9,3,4,26,43
Chad,NF,6,6,3,1,2,0,0,6,7,5,1,3,16,22
Chechnya,NF,7,7,0,0,0,0,0,0,4,0,0,2,6,6
Chile,F,1,1,12,15,12,0,0,39,16,12,15,15,58,97
China,NF,7,6,0,1,1,0,0,2,4,2,2,7,15,17
Colombia,PF,3,3,10,9,7,0,0,26,12,7,7,10,36,62
Comoros,PF,3,4,9,11,4,0,0,24,10,6,8,6,30,54
Congo (Brazzaville),NF,6,5,3,5,3,0,0,11,9,7,2,6,24,35
Congo (Kinshasa),NF,5,6,6,6,2,0,0,14,6,5,0,1,12,26
Costa Rica,F,1,1,12,15,11,0,0,38,16,11,13,13,53,91
Cote d'Ivoire,NF,7,6,1,2,2,0,0,5,5,4,3,4,16,21
Croatia,F,2,2,12,14,9,0,0,35,14,12,11,13,50,85
Cuba,NF,7,7,0,0,1,0,0,1,2,1,1,2,6,7
Cyprus,F,1,1,11,16,11,0,0,38,15,12,15,15,57,95
Czech Republic,F,1,1,12,15,11,0,0,38,16,12,14,15,57,95
Denmark,F,1,1,12,16,12,0,0,40,16,12,15,15,58,98
Djibouti,PF,5,5,4,5,3,0,0,12,7,5,5,6,23,35
Dominica,F,1,1,12,16,10,0,0,38,16,12,13,13,54,92
Dominican Republic,F,2,2,11,13,9,0,0,33,15,11,10,11,47,80
Ecuador,PF,3,3,9,15,4,0,0,28,15,11,5,10,41,69
Egypt,NF,6,5,1,4,2,0,0,7,6,2,5,7,20,27
El Salvador,F,2,3,12,13,8,0,0,33,15,9,7,10,41,74
Equatorial Guinea,NF,7,6,0,1,0,0,0,1,5,0,1,3,9,10
Eritrea,NF,7,6,0,1,2,0,0,3,2,0,2,6,10,13
Estonia,F,1,1,12,15,12,0,0,39,16,12,14,14,56,95
Ethiopia,PF,5,5,5,5,4,0,0,14,7,3,4,6,20,34
Fiji,PF,6,4,0,5,2,0,0,7,10,4,7,10,31,38
Finland,F,1,1,12,16,12,0,0,40,16,12,16,16,60,100
France,F,1,1,12,15,11,0,0,38,15,12,14,15,56,94
Gabon,PF,6,4,2,5,3,0,0,10,10,6,6,5,27,37
Georgia,PF,3,3,9,9,7,0,0,25,12,8,7,10,37,62
Germany,F,1,1,12,15,12,0,0,39,15,12,15,15,57,96
Ghana,F,1,2,12,15,10,0,0,37,14,11,12,10,47,84
Greece,F,1,2,12,15,10,0,0,37,15,10,14,13,52,89
Grenada,F,1,2,12,16,9,0,0,37,15,9,11,14,49,86
Guatemala,PF,3,4,9,10,5,0,0,24,12,8,5,8,33,57
Guinea,NF,6,5,2,5,2,0,0,9,8,5,4,6,23,32
