Country/Territory,Status,PR Rating,CL Rating,A Aggr,B Aggr,C Aggr,Add A,Add B,PR Aggr,D Aggr,E Aggr,F Aggr,G Aggr,CL Aggr,Total Aggr
Abkhazia*,PF,5,5,5,5,3,0,0,13,8,4,4,5,21,34
Afghanistan,PF,5,5,6,7,3,0,0,16,5,5,4,5,19,35
Albania,PF,3,3,8,11,6,0,0,25,11,8,10,9,38,63
Algeria,NF,6,5,5,3,3,0,0,11,8,6,4,7,25,36
Andorra,F,1,1,12,15,12,0,0,39,16,11,15,15,57,96
Angola,NF,6,5,2,5,1,0,0,8,8,6,4,3,21,29
Antigua and Barbuda,F,2,2,11,12,7,0,0,30,13,9,12,13,47,77
Argentina,F,2,2,11,15,8,0,0,34,15,11,11,13,50,84
Armenia,PF,5,4,4,5,4,0,0,13,8,5,6,9,28,41
Australia,F,1,1,12,15,12,0,0,39,16,12,14,15,57,96
Austria,F,1,1,12,16,12,0,0,40,16,12,15,15,58,98
Azerbaijan,NF,6,5,3,4,3,0,0,10,7,3,5,8,23,33
Bahamas,F,1,1,12,16,10,0,0,38,16,12,15,15,58,96
Bahrain,PF,5,5,21,6,5,0,0,14,8,5,4,5,22,36
Bangladesh,PF,4,4,8,10,4,0,0,22,8,8,6,9,31,53
Barbados,F,1,1,12,16,12,0,0,40,16,12,16,15,59,99
Belarus,NF,7,6,1,3,1,0,0,5,3,0,2,5,10,15
Belgium,F,1,1,12,15,12,0,0,39,16,12,15,15,58,97
Belize,F,1,2,12,14,10,0,0,36,15,11,13,13,52,88
Benin,F,2,2,8,14,8,0,0,30,15,11,12,10,48,78
Bhutan,NF,6,5,2,1,5,2,1,9,6,2,4,8,20,29
Bolivia,PF,3,3,10,13,5,0,0,28,15,11,8,9,43,71
Bosnia and Herzegovina,PF,4,3,7,11,5,0,0,23,11,8,10,10,39,62
Botswana,F,2,2,11,11,9,0,0,31,14,10,13,10,47,78
Brazil,F,2,2,11,14,7,0,0,32,15,10,8,12,45,77
Brunei,NF,6,5,0,3,2,1,0,6,6,3,6,8,23,29
Bulgaria,F,1,2,12,15,9,0,0,36,14,11,13,13,51,87
Burkina Faso,PF,5,3,5,8,4,0,0,17,13,9,6,8,36,53
Burundi,PF,3,5,9,11,5,0,0,25,9,5,4,6,24,49
Cambodia,NF,6,5,3,5,3,0,0,11,9,6,2,7,24,35
Cameroon,NF,6,6,3,5,3,0,0,11,7,3,2,4,16,27
Canada,F,1,1,12,16,11,0,0,39,16,12,15,16,59,98
Cape Verde,F,1,1,12,15,10,0,0,37,15,11,14,13,53,90
Central African Republic,PF,5,4,7,7,3,0,0,17,10,9,3,5,27,44
Chad,NF,6,5,3,2,3,0,0,8,7,6,2,3,18,26
Chechnya*,NF,7,7,0,0,0,0,0,0,4,0,0,1,5,5
Chile,F,1,1,12,15,12,0,0,39,16,12,15,14,57,96
China,NF,7,6,0,1,1,0,0,2,4,2,2,7,15,17
Colombia,PF,3,3,9,8,7,0,0,24,12,7,7,10,36,60
Comoros,PF,4,4,7,8,3,0,0,18,10,6,8,6,30,48
Congo (Brazzaville),PF,5,5,3,5,4,0,0,12,9,8,2,6,25,37
Congo (Kinshasa),NF,6,6,1,5,2,0,0,8,6,5,0,1,12,20
Costa Rica,F,1,1,12,15,11,0,0,38,16,11,14,13,54,92
Cote d’Ivoire,NF,6,6,2,2,2,0,0,6,5,3,3,4,15,21
Croatia,F,2,2,12,14,9,0,0,35,14,12,10,13,49,84
Cuba,NF,7,7,0,0,1,0,0,1,2,2,1,2,7,8
Cyprus ,F,1,1,11,16,11,0,0,38,15,12,15,15,57,95
Czech Republic,F,1,1,12,15,10,0,0,37,16,12,13,14,55,92
Denmark,F,1,1,12,16,12,0,0,40,16,12,15,15,58,98
Djibouti,PF,5,5,4,5,3,0,0,12,7,5,5,6,23,35
Dominica,F,1,1,12,16,10,0,0,38,16,12,13,13,54,92
Dominican Republic,F,2,2,11,13,8,0,0,32,15,11,9,11,46,78
Ecuador,PF,3,3,8,15,4,0,0,27,15,11,5,10,41,68
Egypt,NF,6,5,2,4,2,0,0,8,7,3,5,7,22,30
El Salvador,F,2,3,12,13,7,0,0,32,15,10,8,10,43,75
Equatorial Guinea,NF,7,6,0,1,0,0,0,1,5,0,1,3,9,10
Eritrea,NF,7,6,0,1,2,0,0,3,2,0,3,6,11,14
Estonia,F,1,1,12,15,12,0,0,39,16,12,14,14,56,95
Ethiopia,PF,5,5,5,6,4,0,0,15,7,3,5,6,21,36
Fiji,PF,4,3,6,8,6,0,0,20,12,9,11,10,42,62
Finland,F,1,1,12,16,12,0,0,40,16,12,16,16,60,100
France,F,1,1,12,15,11,0,0,38,15,12,13,15,55,93
Gabon,PF,6,4,2,5,3,0,0,10,11,6,7,6,30,40
Georgia,PF,3,3,9,9,6,0,0,24,11,8,8,10,37,61
Germany,F,1,1,12,15,12,0,0,39,16,12,15,15,58,97
Ghana,F,1,2,12,15,10,0,0,37,14,11,12,10,47,84
Greece,F,1,2,12,15,10,0,0,37,15,10,13,13,51,88
Grenada,F,1,2,12,16,9,0,0,37,15,9,12,14,50,87
Guatemala,PF,4,4,9,8,5,0,0,22,12,8,5,8,33,55
Guinea,NF,6,5,2,5,2,0,0,9,8,5,4,6,23,32
Guinea-Bissau,PF,3,4,9,10,6,0,0,25,12,8,8,6,34,59
Guyana,PF,3,3,10,12,7,0,0,29,15,10,7,9,41,70
Haiti,NF,7,6,0,5,0,0,0,5,8,3,0,5,16,21
Honduras,PF,3,3,9,11,6,0,0,26,14,9,8,9,40,66
