Country/Territory,Status,PR Rating,CL Rating,A Aggr,B Aggr,C Aggr,Add A,Add B,PR Aggr,D Aggr,E Aggr,F Aggr,G Aggr,CL Aggr,Total Aggr
Abkhazia*,PF,5,5,5,6,4,0,0,15,8,5,4,5,22,37
Afghanistan,NF,6,6,3,6,1,0,0,10,5,4,2,4,15,25
Albania,PF,3,3,8,11,7,0,0,26,13,9,9,9,40,66
Algeria,NF,6,5,4,4,3,0,0,11,7,6,5,7,25,36
Andorra,F,1,1,12,15,12,0,0,39,16,11,15,15,57,96
Angola,NF,6,5,3,6,1,0,0,10,8,6,4,3,21,31
Antigua and Barbuda,F,3,2,11,12,6,0,0,29,13,9,13,13,48,77
Argentina,F,2,2,11,15,6,0,0,32,14,11,10,13,48,80
Armenia,PF,6,4,4,4,3,0,0,11,8,5,6,9,28,39
Australia,F,1,1,12,15,12,0,0,39,16,12,14,15,57,96
Austria,F,1,1,12,15,12,0,0,39,16,12,15,15,58,97
Azerbaijan,NF,6,5,1,3,3,0,0,7,6,3,4,8,21,28
Bahamas,F,1,1,12,16,10,0,0,38,16,12,15,15,58,96
Bahrain,NF,6,5,21,6,4,0,2,11,8,3,1,7,19,30
Bangladesh,PF,3,4,9,11,6,0,0,26,9,9,7,9,34,60
Barbados,F,1,1,12,16,12,0,0,40,16,12,16,15,59,99
Belarus,NF,7,6,0,3,1,0,0,4,3,1,2,5,11,15
Belgium,F,1,1,12,16,11,0,0,39,16,12,15,15,58,97
Belize,F,1,2,12,14,11,0,0,37,15,11,12,13,51,88
Benin,F,2,2,9,16,8,0,0,33,15,12,13,10,50,83
Bhutan,PF,4,5,7,7,6,0,1,19,8,3,5,8,24,43
Bolivia,PF,3,3,11,11,5,0,0,27,14,10,6,9,39,66
Bosnia and Herzegovina,PF,4,3,8,10,5,0,0,23,10,7,10,10,37,60
Botswana,F,3,2,10,11,8,0,0,29,13,10,12,11,46,75
Brazil,F,2,2,11,14,7,0,0,32,15,10,9,12,46,78
Brunei,NF,6,5,0,3,3,1,0,7,6,3,6,8,23,30
Bulgaria,F,2,2,12,15,8,0,0,35,14,11,11,11,47,82
Burkina Faso,PF,5,3,5,8,4,0,0,17,13,8,7,8,36,53
Burundi,PF,5,5,4,6,3,0,0,13,8,4,4,6,22,35
Cambodia,NF,6,5,3,3,3,0,0,9,9,4,1,6,20,29
Cameroon,NF,6,6,2,3,2,0,0,7,7,3,2,4,16,23
Canada,F,1,1,12,16,12,0,0,40,16,12,15,16,59,99
Cape Verde,F,1,1,12,15,10,0,0,37,15,11,14,13,53,90
Central African Republic,PF,5,5,5,7,3,0,0,15,10,5,3,4,22,37
Chad,NF,7,6,3,1,1,0,0,5,7,4,2,3,16,21
Chile,F,1,1,12,15,12,0,0,39,16,12,15,15,58,97
China,NF,7,6,0,1,2,0,1,2,4,3,2,6,15,17
Colombia,PF,3,4,10,10,7,0,0,27,12,5,7,10,34,61
Comoros,PF,3,4,9,11,5,0,0,25,10,6,8,6,30,55
Congo (Brazzaville),NF,6,5,1,3,3,0,0,7,8,6,2,6,22,29
Congo (Kinshasa),NF,6,6,6,3,2,0,0,11,6,3,0,1,10,21
Costa Rica,F,1,1,12,15,11,0,0,38,16,11,13,13,53,91
Cote d'Ivoire,NF,7,6,2,1,1,0,0,4,5,4,3,4,16,20
Croatia,F,1,2,12,15,9,0,0,36,14,12,11,13,50,86
Cuba,NF,7,6,0,0,1,0,0,1,3,1,2,3,9,10
Cyprus,F,1,1,11,16,11,0,0,38,15,12,15,14,56,94
Czech Republic,F,1,1,12,15,11,0,0,38,16,12,14,15,57,95
Denmark,F,1,1,12,16,12,0,0,40,16,12,14,15,57,97
Djibouti,NF,6,5,4,3,3,0,0,10,7,5,5,6,23,33
Dominica,F,1,1,12,16,10,0,0,38,16,12,15,15,58,96
Dominican Republic,F,2,2,10,12,9,0,0,31,15,11,8,11,45,76
Ecuador,PF,3,3,9,14,5,0,0,28,14,9,6,10,39,67
Egypt,NF,6,5,1,3,2,0,0,6,6,2,4,7,19,25
El Salvador,F,2,3,12,14,8,0,0,34,15,8,8,10,41,75
Equatorial Guinea,NF,7,7,0,1,0,0,0,1,4,0,0,3,7,8
Eritrea,NF,7,7,0,1,1,0,0,2,1,0,0,4,5,7
Estonia,F,1,1,12,15,12,0,0,39,16,12,14,14,56,95
Ethiopia,NF,6,6,1,3,4,0,0,8,4,0,4,5,13,21
Fiji,PF,6,4,0,5,2,0,0,7,10,4,6,10,30,37
Finland,F,1,1,12,16,12,0,0,40,16,12,16,16,60,100
France,F,1,1,12,15,11,0,0,38,16,12,14,15,57,95
Gabon,NF,6,5,2,4,3,0,0,9,10,4,6,5,25,34
Gaza Strip*,NF,6,6,5,2,2,0,0,9,4,3,0,2,9,18
Georgia,PF,4,3,6,8,6,0,0,20,12,7,7,10,36,56
Germany,F,1,1,12,15,12,0,0,39,15,12,15,15,57,96
Ghana,F,1,2,12,15,10,0,0,37,14,11,12,10,47,84
Greece,F,1,2,12,15,9,0,0,36,14,12,11,13,50,86
Grenada,F,1,2,12,16,10,0,0,38,15,10,12,14,51,89
Guatemala,PF,4,4,9,10,4,0,0,23,12,8,6,8,34,57
Guinea,PF,5,5,5,8,1,0,0,14,8,6,4,4,22,36
Guinea-Bissau,PF,4,4,9,7,2,0,0,18,10,8,4,5,27,45
Guyana,F,2,3,11,13,7,0,0,31,15,10,7,9,41,72
Haiti,PF,4,5,5,10,5,0,0,20,10,6,4,5,25,45
Honduras,PF,4,4,6,8,5,0,0,19,11,6,7,9,33,52
Hong Kong*,PF,5,2,3,7,6,0,0,16,14,9,15,13,51,67
Hungary,F,1,1,12,15,10,0,0,37,15,12,12,14,53,90
Iceland,F,1,1,12,16,12,0,0,40,16,12,16,15,59,99
India,F,2,3,11,14,9,0,0,34,13,10,9,10,42,76
Indian Kashmir*,PF,4,5,8,8,4,0,0,20,8,5,4,8,25,45
Indonesia,F,2,3,11,13,6,0,0,30,11,10,5,9,35,65
Iran,NF,6,6,2,2,2,0,0,6,2,2,3,4,11,17
Iraq,NF,5,6,7,5,1,0,1,12,5,4,0,4,13,25
Ireland,F,1,1,12,16,11,0,0,39,16,12,15,15,58,97
Israel,F,1,2,12,14,10,0,0,36,13,12,11,11,47,83
Italy,F,1,2,12,15,10,0,0,37,14,12,12,14,52,89
Jamaica,F,2,3,12,13,8,0,0,33,15,9,6,10,40,73
Japan,F,1,2,12,15,10,0,0,37,13,10,15,13,51,88
Jordan,NF,6,5,2,5,3,0,0,10,7,3,6,8,24,34
Kazakhstan,NF,6,5,2,3,1,0,0,6,7,3,4,8,22,28
Kenya,PF,4,3,6,10,5,0,0,21,14,8,7,6,35,56
Kiribati,F,1,1,12,16,8,0,0,36,15,12,15,13,55,91
Kosovo,PF,5,4,6,7,3,0,1,15,8,6,5,7,26,41
Kuwait,PF,4,5,4,9,6,0,0,19,7,5,7,6,25,44
Kyrgyzstan,PF,5,5,6,6,3,0,2,13,8,5,4,7,24,37
Laos,NF,7,6,0,0,0,0,0,0,4,1,2,5,12,12
Latvia,F,2,2,12,14,7,0,0,33,15,12,12,13,52,85
Lebanon,PF,5,3,5,9,3,0,0,17,12,8,6,9,35,52
Lesotho,PF,3,3,9,11,9,0,0,29,14,7,11,9,41,70
Liberia,PF,3,4,8,10,6,0,0,24,11,8,7,8,34,58
Libya,NF,7,7,0,1,0,0,0,1,1,0,0,6,7,8
Liechtenstein,F,1,1,12,16,12,0,0,40,16,12,16,16,60,100
Lithuania,F,1,1,12,16,9,0,0,37,16,11,13,13,53,90
Luxembourg,F,1,1,12,16,12,0,0,40,16,12,16,16,60,100
Macedonia,PF,3,3,8,11,7,0,0,26,12,8,9,11,40,66
Madagascar,PF,6,4,1,5,1,0,0,7,10,7,6,9,32,39
Malawi,PF,3,4,8,11,7,0,0,26,11,7,9,7,34,60
Malaysia,PF,4,4,6,8,6,0,0,20,9,6,6,8,29,49
Maldives,PF,3,4,9,9,6,0,0,24,8,8,8,8,32,56
Mali,F,2,3,9,13,9,0,0,31,16,10,8,7,41,72
Malta,F,1,1,12,16,11,0,0,39,16,12,15,15,58,97
Marshall Islands,F,1,1,11,15,10,0,0,36,16,11,15,13,55,91
Mauritania,NF,6,5,3,3,5,0,0,11,9,5,4,5,23,34
Mauritius,F,1,2,12,15,11,0,0,38,15,12,13,12,52,90
Mexico,PF,3,3,10,12,7,0,0,29,13,8,6,10,37,66
Micronesia,F,1,1,12,15,10,0,0,37,16,11,15,14,56,93
Moldova,PF,3,3,10,12,5,0,0,27,11,8,8,9,36,63
Monaco,F,2,1,10,11,10,0,0,31,15,12,15,14,56,87
Mongolia,F,2,2,10,15,10,0,0,35,15,11,12,12,50,85
Montenegro,F,3,2,9,11,7,0,0,27,13,10,10,12,45,72
Morocco,PF,5,4,4,6,4,0,0,14,8,6,6,8,28,42
Mozambique,PF,4,3,6,10,7,0,0,23,12,7,8,9,36,59
Myanmar,NF,7,7,0,3,0,0,3,0,2,0,0,3,5,5
Nagorno-Karabakh*,NF,6,5,4,3,3,0,0,10,6,3,5,5,19,29
Namibia,F,2,2,10,11,9,0,0,30,14,12,10,9,45,75
Nauru,F,1,1,12,16,10,0,0,38,15,11,15,14,55,93
Nepal,PF,4,4,6,11,3,0,0,20,9,6,6,7,28,48
Netherlands,F,1,1,12,16,12,0,0,40,16,12,14,16,58,98
New Zealand,F,1,1,12,15,12,0,0,39,16,12,15,15,58,97
Nicaragua,PF,4,4,9,7,4,0,0,20,12,6,7,9,34,54
Niger,PF,5,4,2,6,4,0,0,12,11,8,5,6,30,42
Nigeria,PF,4,4,4,9,6,0,0,19,9,8,5,7,29,48
North Korea,NF,7,7,0,0,0,0,0,0,0,0,0,1,1,1
Northern Cyprus*,F,2,2,11,14,9,0,0,34,14,9,12,12,47,81
Norway,F,1,1,12,16,12,0,0,40,16,12,16,16,60,100
Oman,NF,6,5,2,2,2,3,0,9,6,3,4,5,18,27
Pakistan,PF,4,5,6,9,5,0,0,20,7,7,4,6,24,44
Pakistani Kashmir*,NF,6,5,3,4,3,0,2,8,6,5,4,6,21,29
Palau,F,1,1,12,15,10,0,0,37,16,11,15,13,55,92
Panama,F,1,2,12,15,9,0,0,36,15,11,9,12,47,83
Papua New Guinea,PF,4,3,9,10,4,0,0,23,12,9,7,8,36,59
Paraguay,PF,3,3,11,12,5,0,0,28,12,8,6,10,36,64
Peru,F,2,3,11,13,7,0,0,31,15,8,8,10,41,72
Philippines,PF,3,3,9,10,6,0,0,25,14,8,4,10,36,61
Poland,F,1,1,12,16,10,0,0,38,16,12,13,14,55,93
Portugal,F,1,1,12,16,11,0,0,39,16,12,15,15,58,97
Puerto Rico,F,1,1,12,15,10,0,0,37,16,10,13,14,53,90
Qatar,NF,6,5,2,2,3,3,0,10,8,2,4,4,18,28
Romania,F,2,2,12,14,8,0,0,34,14,11,12,12,49,83
Russia,NF,6,5,1,3,3,0,0,7,6,4,3,7,20,27
