Country/Territory,Status,PR Rating,CL Rating,A Aggr,B Aggr,C Aggr,Add A,Add B,PR Aggr,D Aggr,E Aggr,F Aggr,G Aggr,CL Aggr,Total Aggr
Abkhazia*,PF,4,5,6,8,4,0,0,18,8,6,4,5,23,41
Afghanistan,NF,6,6,3,6,2,0,0,11,5,4,2,2,13,24
Albania,PF,3,3,8,13,6,0,0,27,13,9,9,9,40,67
Algeria,NF,6,5,4,4,3,0,0,11,7,4,5,7,23,34
Andorra,F,1,1,12,15,12,0,0,39,16,11,15,15,57,96
Angola,NF,6,5,3,6,1,0,0,10,7,4,4,3,18,28
Antigua and Barbuda,F,2,2,11,13,7,0,0,31,14,9,13,13,49,80
Argentina,F,2,2,11,14,6,0,0,31,14,11,11,13,49,80
Armenia,PF,5,4,5,7,4,0,0,16,9,6,6,9,30,46
Australia,F,1,1,12,15,12,0,0,39,16,12,15,15,58,97
Austria,F,1,1,12,15,11,0,0,38,16,12,15,15,58,96
Azerbaijan,NF,6,6,1,3,2,0,0,6,4,1,3,6,14,20
Bahamas,F,1,1,12,16,10,0,0,38,16,12,15,15,58,96
Bahrain,NF,7,6,21,2,3,0,2,5,2,1,1,6,10,15
Bangladesh,PF,4,4,7,9,5,0,0,21,8,6,6,9,29,50
Barbados,F,1,1,12,16,12,0,0,40,16,12,16,15,59,99
Belarus,NF,7,6,0,3,1,0,0,4,3,1,1,5,10,14
Belgium,F,1,1,12,16,12,0,0,40,15,12,15,15,57,97
Belize,F,1,2,12,14,10,0,0,36,15,11,12,13,51,87
Benin,F,2,2,8,16,8,0,0,32,15,12,12,10,49,81
Bhutan,PF,3,4,10,10,10,0,1,29,9,4,6,8,27,56
Bolivia,PF,3,3,11,11,7,0,0,29,14,9,6,10,39,68
Bosnia and Herzegovina,PF,4,3,8,10,5,0,0,23,10,7,10,10,37,60
Botswana,F,3,2,10,10,8,0,0,28,12,10,12,11,45,73
Brazil,F,2,2,11,14,8,0,0,33,15,10,10,13,48,81
Brunei,NF,6,5,0,3,3,1,0,7,6,3,6,8,23,30
Bulgaria,F,2,2,11,14,8,0,0,33,14,11,10,11,46,79
Burkina Faso,PF,6,3,2,6,1,0,0,9,13,8,7,8,36,45
Burundi,NF,6,5,4,5,2,0,0,11,8,3,4,6,21,32
Cambodia,NF,6,5,4,4,3,0,0,11,9,3,2,6,20,31
Cameroon,NF,6,6,3,3,3,0,0,9,7,3,2,4,16,25
Canada,F,1,1,12,16,11,0,0,39,16,12,15,16,59,98
Cape Verde,F,1,1,12,15,10,0,0,37,15,11,14,13,53,90
Central African Republic,NF,7,7,0,1,0,0,1,0,4,1,0,1,6,6
Chad,NF,7,6,3,1,1,0,0,5,7,4,2,3,16,21
Chile,F,1,1,12,15,12,0,0,39,16,11,14,15,56,95
China,NF,7,6,0,1,2,0,1,2,4,3,2,6,15,17
Colombia,PF,3,4,10,11,8,0,0,29,12,5,7,10,34,63
Comoros,PF,3,4,9,11,5,0,0,25,10,6,8,6,30,55
Congo (Brazzaville),NF,6,5,1,3,3,0,0,7,8,6,2,7,23,30
Congo (Kinshasa),NF,6,6,3,4,2,0,0,9,8,3,0,5,16,25
Costa Rica,F,1,1,12,15,10,0,0,37,16,11,13,13,53,90
Cote d'Ivoire,PF,5,4,6,7,4,0,0,17,10,7,6,6,29,46
Crimea*,NF,7,6,0,0,0,0,1,-1,3,1,0,7,11,10
Croatia,F,1,2,12,15,9,0,0,36,14,12,11,13,50,86
Cuba,NF,7,6,0,0,1,0,0,1,4,0,3,6,13,14
Cyprus,F,1,1,11,16,10,0,0,37,15,12,15,14,56,93
Czech Republic,F,1,1,12,15,11,0,0,38,16,12,14,15,57,95
Denmark,F,1,1,12,16,12,0,0,40,16,12,15,15,58,98
Djibouti,NF,6,5,3,3,3,0,0,9,6,3,4,6,19,28
Dominica,F,1,1,12,16,10,0,0,38,15,12,15,15,57,95
Dominican Republic,F,2,3,10,11,9,0,0,30,15,10,8,10,43,73
Ecuador,PF,3,3,7,11,6,0,0,24,12,7,6,10,35,59
Egypt,NF,6,5,2,4,2,0,0,8,5,4,2,7,18,26
El Salvador,F,2,3,12,14,9,0,0,35,15,8,8,9,40,75
Equatorial Guinea,NF,7,7,0,1,0,0,0,1,4,0,0,3,7,8
Eritrea,NF,7,7,0,0,1,0,0,1,0,0,0,2,2,3
Estonia,F,1,1,12,15,12,0,0,39,16,12,14,14,56,95
Ethiopia,NF,6,6,1,2,4,0,0,7,3,0,3,5,11,18
Fiji,PF,3,4,9,11,6,0,0,26,11,4,9,10,34,60
Finland,F,1,1,12,16,12,0,0,40,16,12,16,16,60,100
France,F,1,1,12,15,11,0,0,38,15,12,15,15,57,95
Gabon,NF,6,5,2,4,3,0,0,9,10,4,6,5,25,34
Gaza Strip*,NF,7,6,2,2,1,0,0,5,5,3,0,2,10,15
Georgia,PF,3,3,9,10,7,0,0,26,12,8,8,10,38,64
Germany,F,1,1,12,15,12,0,0,39,15,12,15,15,57,96
Ghana,F,1,2,12,15,10,0,0,37,14,11,12,10,47,84
Greece,F,2,2,12,15,8,0,0,35,14,11,10,13,48,83
Grenada,F,1,2,12,16,10,0,0,38,15,11,12,13,51,89
Guatemala,PF,3,4,9,10,5,0,0,24,12,6,5,8,31,55
Guinea,PF,5,5,6,8,3,0,0,17,9,6,4,5,24,41
Guinea-Bissau,PF,5,5,8,8,1,0,0,17,10,5,3,5,23,40
Guyana,F,2,3,11,13,6,0,0,30,15,10,7,9,41,71
Haiti,PF,5,5,4,8,5,0,0,17,10,4,4,6,24,41
Honduras,PF,4,4,7,9,4,0,0,20,10,6,5,8,29,49
Hong Kong*,PF,5,2,3,7,6,0,0,16,13,8,15,13,49,65
Hungary,F,2,2,9,15,8,0,0,32,14,11,11,14,50,82
Iceland,F,1,1,12,16,11,0,0,39,16,12,16,16,60,99
India,F,2,3,12,14,9,0,0,35,13,11,9,10,43,78
Indian Kashmir*,PF,4,4,9,9,4,0,0,22,9,6,6,8,29,51
Indonesia,PF,2,4,10,14,6,0,0,30,12,8,5,9,34,64
Iran,NF,6,6,3,2,2,0,0,7,2,1,3,4,10,17
Iraq,NF,6,6,8,5,1,0,3,11,5,4,0,4,13,24
Ireland,F,1,1,12,16,11,0,0,39,16,12,15,15,58,97
Israel,F,1,2,12,14,10,0,0,36,12,10,11,11,44,80
Italy,F,1,1,12,14,10,0,0,36,15,12,12,14,53,89
Jamaica,F,2,3,12,13,9,0,0,34,15,9,6,10,40,74
Japan,F,1,1,12,15,12,0,0,39,15,11,15,14,55,94
Jordan,NF,6,5,2,6,3,0,0,11,7,4,6,8,25,36
Kazakhstan,NF,6,5,2,3,1,0,0,6,4,2,4,8,18,24
Kenya,PF,4,4,7,10,5,0,0,22,11,6,5,7,29,51
Kiribati,F,1,1,12,16,8,0,0,36,15,12,15,13,55,91
Kosovo,PF,4,4,9,10,4,0,0,23,9,6,6,8,29,52
Kuwait,PF,5,5,2,7,5,0,0,14,6,4,7,6,23,37
Kyrgyzstan,PF,5,5,6,6,4,0,2,14,9,4,4,7,24,38
Laos,NF,7,6,0,0,1,0,0,1,4,0,2,5,11,12
Latvia,F,2,2,12,14,8,0,0,34,15,12,12,12,51,85
Lebanon,PF,5,4,2,9,3,0,0,14,11,7,5,7,30,44
Lesotho,F,2,3,10,12,8,0,0,30,14,7,11,9,41,71
Liberia,PF,3,4,9,11,6,0,0,26,10,7,6,7,30,56
Libya,NF,6,6,5,3,0,0,0,8,6,3,1,5,15,23
Liechtenstein,F,1,1,12,15,12,0,0,39,16,12,15,16,59,98
Lithuania,F,1,1,12,16,10,0,0,38,16,11,13,13,53,91
Luxembourg,F,1,1,12,16,10,0,0,38,16,12,16,16,60,98
Macedonia,PF,4,3,7,10,6,0,0,23,11,8,8,10,37,60
Madagascar,PF,4,4,9,9,4,0,0,22,9,8,6,7,30,52
Malawi,PF,3,4,8,12,7,0,0,27,11,7,9,7,34,61
Malaysia,PF,4,4,6,7,6,0,0,19,7,6,5,9,27,46
Maldives,PF,4,4,7,7,6,0,0,20,6,7,7,8,28,48
Mali,PF,5,4,6,7,4,0,0,17,11,6,6,4,27,44
Malta,F,1,1,12,16,11,0,0,39,16,12,15,15,58,97
Marshall Islands,F,1,1,11,15,10,0,0,36,16,11,15,13,55,91
Mauritania,NF,6,5,3,2,4,0,0,9,10,4,4,4,22,31
Mauritius,F,1,2,12,15,11,0,0,38,15,12,13,12,52,90
Mexico,PF,3,3,9,12,7,0,0,28,12,8,6,10,36,64
Micronesia,F,1,1,12,15,10,0,0,37,16,11,15,14,56,93
Moldova,PF,3,3,10,12,6,0,0,28,11,8,7,9,35,63
Monaco,F,2,1,10,11,10,0,0,31,16,12,15,14,57,88
Mongolia,F,1,2,11,16,9,0,0,36,15,11,12,12,50,86
Montenegro,F,3,2,9,11,7,0,0,27,12,10,10,12,44,71
Morocco,PF,5,4,5,7,3,0,0,15,8,6,6,7,27,42
Mozambique,PF,4,3,6,10,7,0,0,23,12,7,7,9,35,58
Myanmar,NF,6,6,3,6,3,0,3,9,6,4,1,5,16,25
Nagorno-Karabakh*,PF,5,5,4,5,3,0,0,12,6,3,4,5,18,30
Namibia,F,2,2,10,11,9,0,0,30,14,12,11,9,46,76
Nauru,F,1,2,12,16,9,0,0,37,14,11,12,14,51,88
Nepal,PF,3,4,8,11,5,0,0,24,9,6,5,7,27,51
Netherlands,F,1,1,12,16,12,0,0,40,16,12,15,16,59,99
New Zealand,F,1,1,12,15,12,0,0,39,16,12,15,15,58,97
Nicaragua,PF,4,3,6,7,6,0,0,19,12,6,7,10,35,54
Niger,PF,3,4,9,10,7,0,0,26,11,8,5,6,30,56
Nigeria,PF,4,5,6,9,4,0,1,18,9,7,4,5,25,43
North Korea,NF,7,7,0,0,0,0,0,0,0,0,0,3,3,3
Northern Cyprus*,F,2,2,11,12,9,0,0,32,14,9,12,12,47,79
Norway,F,1,1,12,16,12,0,0,40,16,12,16,16,60,100
Oman,NF,6,5,2,2,2,3,0,9,5,3,4,5,17,26
Pakistan,PF,4,5,7,8,5,0,0,20,5,7,4,6,22,42
Pakistani Kashmir*,NF,6,5,4,4,3,0,2,9,6,4,4,6,20,29
Palau,F,1,1,12,15,10,0,0,37,16,11,15,13,55,92
Panama,F,2,2,12,15,8,0,0,35,15,11,9,12,47,82
Papua New Guinea,PF,4,3,9,10,4,0,0,23,12,9,7,8,36,59
Paraguay,PF,3,3,10,12,5,0,0,27,12,8,7,11,38,65
Peru,F,2,3,10,13,7,0,0,30,15,8,8,10,41,71
Philippines,PF,3,3,9,10,7,0,0,26,14,8,5,10,37,63
Poland,F,1,1,12,16,10,0,0,38,16,12,13,14,55,93
Portugal,F,1,1,12,16,11,0,0,39,16,12,15,15,58,97
Puerto Rico,F,1,2,12,15,10,0,0,37,16,10,12,14,52,89
Qatar,NF,6,5,2,2,3,3,0,10,8,2,4,4,18,28
Romania,F,2,2,11,14,9,0,0,34,14,11,12,12,49,83
Russia,NF,6,6,1,3,3,0,0,7,4,4,2,6,16,23
Rwanda,NF,6,6,2,2,5,0,0,9,4,2,3,7,16,25
Samoa,F,2,2,9,13,10,0,0,32,14,10,13,12,49,81
San Marino,F,1,1,12,16,12,0,0,40,16,12,16,16,60,100
Sao Tome and Principe,F,2,2,11,14,9,0,0,34,15,10,12,10,47,81
Saudi Arabia,NF,7,7,0,0,1,2,0,3,3,0,2,2,7,10
Senegal,F,2,2,11,13,9,0,0,33,15,10,10,10,45,78
Serbia,F,2,2,10,14,7,0,0,31,15,11,10,13,49,80
Seychelles,PF,3,3,8,10,7,0,0,25,11,9,11,11,42,67
Sierra Leone,PF,3,3,10,11,7,0,0,28,12,7,9,9,37,65
Singapore,PF,4,4,4,8,7,0,0,19,9,4,7,12,32,51
Slovakia,F,1,1,12,15,10,0,0,37,15,12,12,14,53,90
Slovenia,F,1,1,12,15,11,0,0,38,14,12,14,13,53,91
Solomon Islands,PF,3,3,9,10,6,0,0,25,14,9,8,12,43,68
Somalia,NF,7,7,0,0,0,0,0,0,1,0,0,1,2,2
Somaliland*,PF,4,5,5,10,6,0,0,21,7,5,7,6,25,46
South Africa,F,2,2,12,13,8,0,0,33,15,12,10,11,48,81
South Korea,F,2,2,11,13,10,0,0,34,13,11,13,13,50,84
South Ossetia*,NF,7,6,2,2,0,0,3,1,4,1,1,3,9,10
South Sudan,NF,7,6,3,0,1,0,2,2,4,3,1,5,13,15
Spain,F,1,1,12,16,11,0,0,39,15,12,15,15,57,96
Sri Lanka,PF,5,5,6,7,4,0,1,16,6,6,5,8,25,41
St. Kitts and Nevis,F,1,1,12,16,9,0,0,37,15,12,13,13,53,90
St. Lucia,F,1,1,12,16,11,0,0,39,15,12,12,14,53,92
St. Vincent and the Grenadines,F,1,1,11,16,9,0,0,36,15,12,13,14,54,90
Sudan,NF,7,7,2,3,1,0,4,2,2,1,0,1,4,6
Suriname,F,2,2,12,13,8,0,0,33,15,11,8,10,44,77
Swaziland,NF,7,5,0,1,0,0,0,1,6,2,5,4,17,18
Sweden,F,1,1,12,16,12,0,0,40,15,12,16,16,59,99
Switzerland,F,1,1,12,15,12,0,0,39,15,12,15,15,57,96
Syria,NF,7,7,0,0,0,0,3,-3,2,0,0,0,2,-1
Taiwan,F,1,2,12,15,10,0,0,37,14,10,14,13,51,88
Tajikistan,NF,6,6,2,3,2,0,0,7,5,3,3,4,15,22
Tanzania,PF,3,3,9,12,7,0,0,28,10,7,9,9,35,63
Thailand,NF,6,5,1,4,3,0,0,8,6,4,5,10,25,33
The Gambia,NF,6,6,2,5,0,0,0,7,3,3,1,6,13,20
Tibet*,NF,7,7,0,0,1,0,3,-2,0,0,0,3,3,1
Timor-Leste,PF,3,3,11,12,6,0,0,29,12,8,7,9,36,65
Togo,PF,4,4,5,8,5,0,0,18,9,6,7,7,29,47
Tonga,F,2,2,11,14,6,0,0,31,13,8,11,12,44,75
Transnistria*,NF,6,6,3,5,2,0,0,10,5,2,2,5,14,24
Trinidad and Tobago,F,2,2,11,13,9,0,0,33,15,11,9,13,48,81
Tunisia,F,1,3,12,16,8,0,0,36,13,10,9,11,43,79
Turkey,PF,3,4,10,10,6,0,0,26,8,5,7,9,29,55
Turkmenistan,NF,7,7,0,1,0,0,0,1,2,0,0,3,5,6
Tuvalu,F,1,1,12,15,10,0,0,37,16,12,15,14,57,94
Uganda,NF,6,5,3,5,3,0,0,11,9,4,5,7,25,36
Ukraine,PF,3,3,9,10,6,0,0,25,11,9,6,11,37,62
United Arab Emirates,NF,6,6,1,2,2,3,0,8,4,2,3,4,13,21
United Kingdom,F,1,1,12,16,12,0,0,40,15,12,15,15,57,97
United States,F,1,1,11,16,10,0,0,37,15,11,14,15,55,92
