Country/Territory,Status,PR Rating,CL Rating,A Aggr,B Aggr,C Aggr,Add A,Add B,PR Aggr,D Aggr,E Aggr,F Aggr,G Aggr,CL Aggr,Total Aggr
Abkhazia*,PF,4,5,6,8,5,0,0,19,8,6,4,5,23,42
Afghanistan,NF,6,6,2,6,2,0,0,10,6,4,2,2,14,24
Albania,PF,3,3,8,13,6,0,0,27,13,9,9,9,40,67
Algeria,NF,6,5,4,4,3,0,0,11,7,5,5,7,24,35
Andorra,F,1,1,12,15,12,0,0,39,16,11,15,15,57,96
Angola,NF,6,6,3,6,1,0,0,10,5,3,3,3,14,24
Antigua and Barbuda,F,2,2,12,13,8,0,0,33,14,9,13,13,49,82
Argentina,F,2,2,11,14,6,0,0,31,14,11,10,13,48,79
Armenia,PF,5,4,5,7,4,0,0,16,9,6,6,9,30,46
Australia,F,1,1,12,16,12,0,0,40,16,12,15,15,58,98
Austria,F,1,1,12,15,10,0,0,37,16,12,15,15,58,95
Azerbaijan,NF,7,6,1,3,1,0,0,5,3,1,2,5,11,16
Bahamas,F,1,1,12,16,10,0,0,38,16,12,13,13,54,92
Bahrain,NF,7,6,21,2,3,0,3,4,2,1,1,6,10,14
Bangladesh,PF,4,4,7,9,5,0,0,21,7,6,6,9,28,49
Barbados,F,1,1,12,16,12,0,0,40,16,12,15,15,58,98
Belarus,NF,7,6,0,3,1,0,0,4,3,1,2,7,13,17
Belgium,F,1,1,12,16,12,0,0,40,15,12,14,15,56,96
Belize,F,1,2,12,14,10,0,0,36,15,11,12,13,51,87
Benin,F,2,2,9,16,8,0,0,33,15,12,12,10,49,82
Bhutan,PF,3,4,10,10,10,0,1,29,9,4,6,8,27,56
Bolivia,PF,3,3,11,11,7,0,0,29,14,9,6,10,39,68
Bosnia and Herzegovina,PF,4,3,8,10,4,0,0,22,10,7,8,10,35,57
Botswana,F,3,2,10,10,8,0,0,28,12,10,12,11,45,73
Brazil,F,2,2,11,14,8,0,0,33,15,10,10,13,48,81
Brunei,NF,6,5,0,3,3,1,0,7,6,3,6,7,22,29
Bulgaria,F,2,2,11,14,8,0,0,33,14,11,10,12,47,80
Burkina Faso,PF,4,3,6,9,6,0,0,21,14,8,8,8,38,59
Burundi,NF,7,6,1,4,0,0,0,5,6,2,1,5,14,19
Cambodia,NF,6,5,4,4,3,0,0,11,9,3,3,6,21,32
Cameroon,NF,6,6,3,3,3,0,0,9,7,3,1,4,15,24
Canada,F,1,1,12,16,12,0,0,40,16,12,15,16,59,99
Cape Verde,F,1,1,12,15,10,0,0,37,15,11,14,13,53,90
Central African Republic,NF,7,7,1,1,0,0,1,1,4,1,0,1,6,7
Chad,NF,7,6,2,1,1,0,0,4,7,5,1,3,16,20
Chile,F,1,1,12,15,11,0,0,38,16,12,14,15,57,95
China,NF,7,6,0,1,2,0,2,1,4,3,2,6,15,16
Colombia,PF,3,4,10,11,8,0,0,29,12,5,7,10,34,63
Comoros,PF,3,4,9,11,4,0,0,24,10,7,8,6,31,55
Congo (Brazzaville),NF,6,5,1,2,3,0,0,6,7,6,2,7,22,28
Congo (Kinshasa),NF,6,6,3,4,2,0,0,9,8,3,0,5,16,25
Costa Rica,F,1,1,12,15,10,0,0,37,16,11,13,13,53,90
Cote d'Ivoire,PF,4,4,7,8,5,0,0,20,11,7,6,7,31,51
Crimea*,NF,7,6,0,0,0,0,1,-1,3,1,0,6,10,9
Croatia,F,1,2,12,15,10,0,0,37,14,12,11,13,50,87
Cuba,NF,7,6,0,0,1,0,0,1,5,0,3,6,14,15
Cyprus,F,1,1,11,16,11,0,0,38,15,12,15,14,56,94
Czech Republic,F,1,1,12,15,11,0,0,38,16,12,14,15,57,95
Denmark,F,1,1,12,16,12,0,0,40,16,12,15,15,58,98
Djibouti,NF,6,5,3,3,3,0,0,9,6,3,4,6,19,28
Dominica,F,1,1,12,16,10,0,0,38,15,12,15,15,57,95
Dominican Republic,PF,3,3,10,10,9,0,0,29,14,10,8,9,41,70
Ecuador,PF,3,3,7,11,6,0,0,24,12,7,6,10,35,59
Egypt,NF,6,5,3,4,2,0,0,9,5,4,2,7,18,27
El Salvador,F,2,3,10,14,9,0,0,33,12,8,8,8,36,69
Equatorial Guinea,NF,7,7,0,1,0,0,0,1,4,0,0,3,7,8
Eritrea,NF,7,7,0,0,1,0,0,1,0,0,0,2,2,3
Estonia,F,1,1,12,15,11,0,0,38,16,12,14,14,56,94
Ethiopia,NF,7,6,1,0,3,0,0,4,3,0,3,5,11,15
Fiji,PF,3,3,9,11,7,0,0,27,11,5,9,10,35,62
Finland,F,1,1,12,16,12,0,0,40,16,12,16,16,60,100
France,F,1,1,12,15,11,0,0,38,14,11,13,15,53,91
Gabon,NF,6,5,2,4,3,0,0,9,10,4,6,5,25,34
Gaza Strip*,NF,7,6,0,2,1,0,0,3,4,3,0,2,9,12
Georgia,PF,3,3,9,11,7,0,0,27,11,8,8,10,37,64
Germany,F,1,1,12,15,12,0,0,39,15,12,14,15,56,95
Ghana,F,1,2,12,15,10,0,0,37,14,11,11,10,46,83
Greece,F,2,2,12,15,8,0,0,35,14,11,10,13,48,83
Grenada,F,1,2,12,16,10,0,0,38,15,11,12,13,51,89
Guatemala,PF,4,4,8,10,5,0,0,23,12,6,5,8,31,54
Guinea,PF,5,5,6,8,3,0,0,17,9,5,4,5,23,40
Guinea-Bissau,PF,5,5,7,8,1,0,0,16,10,5,3,5,23,39
Guyana,F,2,3,11,13,8,0,0,32,15,10,8,9,42,74
Haiti,PF,5,5,4,8,5,0,0,17,10,4,4,6,24,41
Honduras,PF,4,4,7,9,3,0,0,19,9,5,4,8,26,45
Hong Kong*,PF,5,2,3,7,6,0,0,16,12,8,14,13,47,63
Hungary,F,2,2,9,15,8,0,0,32,13,11,10,13,47,79
Iceland,F,1,1,12,16,12,0,0,40,16,12,16,16,60,100
India,F,2,3,12,14,9,0,0,35,13,10,9,10,42,77
Indian Kashmir*,PF,4,4,9,9,4,0,0,22,9,6,6,8,29,51
Indonesia,PF,2,4,11,14,6,0,0,31,12,8,5,9,34,65
Iran,NF,6,6,3,2,2,0,0,7,2,1,3,4,10,17
Iraq,NF,5,6,8,5,2,0,3,12,5,6,0,4,15,27
Ireland,F,1,1,12,16,11,0,0,39,16,12,14,15,57,96
Israel,F,1,2,12,14,10,0,0,36,12,10,11,11,44,80
Italy,F,1,1,12,14,10,0,0,36,15,12,12,14,53,89
Jamaica,F,2,3,12,13,9,0,0,34,15,9,7,10,41,75
Japan,F,1,1,12,16,12,0,0,40,15,12,15,14,56,96
Jordan,NF,6,5,2,6,3,0,0,11,7,4,6,8,25,36
Kazakhstan,NF,6,5,2,3,1,0,0,6,4,2,4,8,18,24
Kenya,PF,4,4,7,10,5,0,0,22,11,6,5,7,29,51
Kiribati,F,1,1,12,16,8,0,0,36,15,12,15,13,55,91
Kosovo,PF,3,4,9,10,5,0,0,24,9,6,6,7,28,52
Kuwait,PF,5,5,2,7,4,0,0,13,6,4,7,6,23,36
Kyrgyzstan,PF,5,5,6,6,4,0,2,14,9,4,4,7,24,38
Laos,NF,7,6,0,0,1,0,0,1,4,0,2,5,11,12
Latvia,F,2,2,12,14,9,0,0,35,15,12,12,12,51,86
Lebanon,PF,5,4,2,9,2,0,0,13,11,7,5,7,30,43
Lesotho,PF,3,3,10,12,6,0,0,28,14,7,9,9,39,67
Liberia,PF,3,4,9,12,7,0,0,28,10,8,7,8,33,61
Libya,NF,6,6,4,2,0,0,0,6,6,3,1,4,14,20
Liechtenstein,F,1,1,12,15,12,0,0,39,16,12,15,16,59,98
Lithuania,F,1,1,12,16,10,0,0,38,16,11,13,13,53,91
Luxembourg,F,1,1,12,16,10,0,0,38,16,12,16,16,60,98
Macedonia,PF,4,3,6,10,6,0,0,22,10,8,7,10,35,57
Madagascar,PF,3,4,9,10,5,0,0,24,10,8,6,8,32,56
Malawi,PF,3,3,8,12,7,0,0,27,13,8,9,7,37,64
Malaysia,PF,4,4,6,7,5,0,0,18,7,6,5,9,27,45
Maldives,PF,4,5,7,6,6,0,0,19,6,5,6,7,24,43
Mali,PF,5,4,6,7,4,0,0,17,12,6,6,4,28,45
Malta,F,1,1,12,16,11,0,0,39,16,12,15,14,57,96
Marshall Islands,F,1,1,12,15,10,0,0,37,16,11,15,13,55,92
Mauritania,NF,6,5,3,2,4,0,0,9,9,4,4,4,21,30
Mauritius,F,1,2,12,15,11,0,0,38,15,12,13,12,52,90
Mexico,PF,3,3,9,12,7,0,0,28,13,8,6,10,37,65
Micronesia,F,1,1,12,15,10,0,0,37,16,11,15,14,56,93
Moldova,PF,3,3,10,11,4,0,0,25,11,8,7,9,35,60
Monaco,F,2,1,10,11,10,0,0,31,16,12,15,14,57,88
Mongolia,F,1,2,11,16,9,0,0,36,15,11,12,12,50,86
Montenegro,PF,3,3,9,11,7,0,0,27,12,9,10,12,43,70
Morocco,PF,5,4,5,7,3,0,0,15,8,5,6,7,26,41
Mozambique,PF,4,4,6,10,6,0,0,22,11,7,7,9,34,56
Myanmar,NF,6,5,3,8,3,0,3,11,7,4,1,5,17,28
Nagorno-Karabakh*,PF,5,5,6,6,3,0,0,15,6,3,4,5,18,33
Namibia,F,2,2,10,11,9,0,0,30,14,12,11,10,47,77
